division,year_clean,total_inches,state_grouped,position_grouped
I,freshman,63.0,ca,guard
I,freshman,67.0,fl,guard
I,sophomore,68.0,wa,guard
I,junior,67.0,sc,guard
I,senior,67.0,ok,guard
I,junior,70.0,tx,guard
I,freshman,74.0,ca,forward
I,freshman,71.0,co,forward
I,freshman,72.0,wa,forward
I,junior,72.0,tx,forward
I,freshman,72.0,oh,forward
I,senior,71.0,il,forward
I,sophomore,67.0,other,guard
I,freshman,72.0,ga,guard
I,freshman,69.0,mi,guard
I,freshman,76.0,ga,forward
I,sophomore,67.0,international,guard
I,junior,66.0,il,guard
I,sophomore,75.0,tx,forward
I,junior,75.0,il,forward
I,sophomore,70.0,tx,guard
I,graduate student,66.0,tx,guard
I,junior,72.0,tx,guard
I,graduate student,75.0,il,forward
I,senior,75.0,wi,center
I,junior,68.0,sc,guard
I,graduate student,69.0,la,guard
I,junior,72.0,al,guard
I,senior,68.0,la,guard
I,graduate student,66.0,al,guard
I,senior,72.0,ks,guard
I,junior,76.0,ny,center
I,junior,72.0,tx,guard
I,freshman,71.0,tn,guard
I,graduate student,69.0,ga,guard
I,graduate student,76.0,ga,center
I,junior,72.0,mi,guard
I,junior,74.0,tn,forward
I,fifth year,68.0,international,guard
I,sophomore,71.0,az,guard
I,freshman,71.0,international,guard
I,senior,74.0,international,forward
I,senior,72.0,international,guard
I,freshman,68.0,fl,guard
I,freshman,68.0,ny,guard
I,senior,69.0,ok,guard
I,fifth year,74.0,tx,forward
I,fifth year,71.0,az,guard
I,junior,77.0,other,forward
I,freshman,76.0,mn,forward
I,senior,66.0,ny,guard
I,junior,65.0,va,guard
I,junior,67.0,va,guard
I,senior,66.0,pa,guard
I,senior,71.0,ca,forward
I,freshman,72.0,wa,forward
I,senior,73.0,oh,forward
I,sophomore,68.0,tx,guard
I,sophomore,68.0,fl,guard
I,senior,69.0,nj,guard
I,freshman,66.0,or,guard
I,freshman,67.0,or,guard
I,junior,70.0,tx,forward
I,freshman,70.0,wa,guard
I,freshman,70.0,ny,guard
I,freshman,73.0,va,forward
I,junior,69.0,nj,guard
I,junior,74.0,ar,forward
I,freshman,70.0,nj,guard
I,sophomore,72.0,la,guard
I,freshman,73.0,tn,forward
I,senior,67.0,ms,guard
I,junior,69.0,ms,guard
I,freshman,70.0,tx,guard
I,junior,72.0,international,guard
I,freshman,69.0,fl,guard
I,junior,75.0,international,forward
I,sophomore,68.0,mo,guard
I,freshman,77.0,international,center
I,freshman,69.0,fl,guard
I,senior,69.0,nj,guard
I,junior,68.0,tx,guard
I,freshman,74.0,ga,forward
I,junior,77.0,tx,center
I,freshman,74.0,mn,forward
I,junior,72.0,il,guard
I,freshman,70.0,wi,guard
I,senior,72.0,international,guard
I,junior,73.0,il,guard
I,freshman,70.0,wi,guard
I,graduate student,66.0,ny,guard
I,freshman,64.0,mn,guard
I,sophomore,70.0,il,guard
I,freshman,67.0,ks,guard
I,freshman,76.0,mn,forward
I,freshman,77.0,il,center
I,junior,68.0,wi,guard
I,freshman,76.0,ny,forward
I,senior,71.0,wi,guard
I,senior,75.0,mn,forward
I,freshman,70.0,oh,guard
I,junior,68.0,md,guard
I,freshman,70.0,other,guard
I,junior,73.0,pa,guard
I,sophomore,75.0,md,forward
I,sophomore,74.0,mi,forward
I,freshman,71.0,ma,guard
I,freshman,69.0,ma,guard
I,sophomore,72.0,fl,guard
I,junior,72.0,tn,guard
I,freshman,72.0,international,guard
I,freshman,77.0,nj,center
I,sophomore,74.0,va,center
I,junior,73.0,ca,guard
I,senior,70.0,or,guard
I,freshman,74.0,wi,guard
I,junior,66.0,or,guard
I,sophomore,73.0,tx,guard
I,sophomore,81.0,international,forward
I,freshman,76.0,co,forward
I,sophomore,71.0,wa,guard
I,freshman,72.0,tx,guard
I,freshman,75.0,ut,forward
I,freshman,65.0,international,guard
I,junior,67.0,al,guard
I,junior,75.0,oh,forward
I,freshman,68.0,mo,guard
I,graduate student,70.0,tn,guard
I,junior,68.0,tn,guard
I,junior,66.0,tn,guard
I,sophomore,72.0,oh,guard
I,sophomore,74.0,fl,forward
I,sophomore,74.0,tn,forward
I,senior,72.0,il,guard
I,freshman,70.0,nc,guard
I,freshman,74.0,al,forward
I,freshman,68.0,ny,guard
I,junior,66.0,other,guard
I,senior,75.0,ct,forward
I,junior,70.0,il,guard
I,freshman,70.0,va,guard
I,sophomore,72.0,va,forward
I,junior,70.0,pa,guard
I,graduate student,69.0,il,guard
I,junior,69.0,md,guard
I,freshman,71.0,ne,guard
I,junior,72.0,tx,guard
I,junior,71.0,ny,forward
I,junior,74.0,international,forward
I,junior,75.0,ca,forward
I,senior,65.0,az,guard
I,freshman,72.0,ca,guard
I,freshman,70.0,ca,guard
I,graduate student,72.0,ca,guard
I,sophomore,76.0,international,forward
I,graduate student,71.0,wa,forward
I,junior,71.0,international,guard
I,sophomore,72.0,ut,guard
I,sophomore,71.0,ca,guard
I,senior,74.0,international,forward
I,sophomore,66.0,ca,guard
I,junior,67.0,international,guard
I,junior,79.0,wa,center
I,graduate student,73.0,ca,forward
I,senior,69.0,international,guard
I,graduate student,72.0,il,forward
I,graduate student,70.0,international,guard
I,sophomore,66.0,international,guard
I,senior,66.0,az,guard
I,sophomore,73.0,international,forward
I,sophomore,76.0,international,forward
I,senior,73.0,international,guard
I,sophomore,70.0,fl,guard
I,sophomore,69.0,fl,guard
I,senior,66.0,az,guard
I,senior,76.0,international,forward
I,freshman,76.0,ga,forward
I,freshman,78.0,oh,forward
I,junior,72.0,ca,guard
I,junior,68.0,ca,guard
I,junior,73.0,wa,forward
I,graduate student,69.0,ca,guard
I,freshman,69.0,international,guard
I,sophomore,67.0,wi,guard
I,graduate student,75.0,international,forward
I,junior,65.0,ca,guard
I,junior,71.0,international,guard
I,sophomore,70.0,ca,guard
I,graduate student,71.0,international,guard
I,junior,75.0,international,forward
I,freshman,72.0,wi,forward
I,junior,67.0,international,guard
I,senior,66.0,va,guard
I,junior,68.0,other,guard
I,junior,70.0,international,guard
I,freshman,73.0,fl,forward
I,sophomore,70.0,ny,forward
I,freshman,73.0,sd,center
I,freshman,68.0,wi,guard
I,senior,65.0,il,guard
I,senior,69.0,tn,forward
I,graduate student,65.0,sc,guard
I,junior,73.0,international,forward
I,graduate student,68.0,md,guard
I,junior,67.0,sc,guard
I,senior,69.0,al,guard
I,sophomore,75.0,oh,forward
I,junior,68.0,international,guard
I,senior,72.0,ga,forward
I,freshman,75.0,mi,forward
I,senior,74.0,international,forward
I,sophomore,69.0,ga,guard
I,sophomore,75.0,fl,center
I,freshman,72.0,mi,guard
I,junior,66.0,ne,guard
I,sophomore,67.0,tx,guard
I,sophomore,70.0,tx,guard
I,sophomore,67.0,international,guard
I,graduate student,65.0,il,guard
I,graduate student,70.0,international,guard
I,freshman,67.0,ga,guard
I,sophomore,72.0,mi,guard
I,graduate student,73.0,il,forward
I,sophomore,71.0,il,guard
I,graduate student,73.0,il,forward
I,graduate student,74.0,il,forward
I,freshman,70.0,mi,guard
I,freshman,73.0,il,forward
I,junior,77.0,va,center
I,freshman,70.0,mo,guard
I,freshman,73.0,sd,guard
I,freshman,68.0,mn,guard
I,junior,70.0,ne,guard
I,graduate student,69.0,ia,guard
I,junior,72.0,mn,forward
I,junior,70.0,mn,guard
I,junior,67.0,mn,guard
I,senior,72.0,ks,guard
I,freshman,73.0,ks,guard
I,junior,73.0,ne,guard
I,junior,73.0,sd,forward
I,senior,67.0,al,guard
I,fifth year,73.0,nc,guard
I,junior,68.0,ca,guard
I,junior,71.0,international,guard
I,freshman,74.0,mo,forward
I,freshman,73.0,mn,guard
I,senior,75.0,wa,center
I,sophomore,69.0,co,guard
I,sophomore,75.0,or,center
I,freshman,73.0,ca,guard
I,freshman,75.0,international,forward
I,sophomore,72.0,az,guard
I,senior,75.0,international,forward
I,junior,67.0,md,guard
I,junior,67.0,oh,guard
I,freshman,67.0,international,guard
I,sophomore,76.0,pa,forward
I,sophomore,71.0,oh,guard
I,sophomore,65.0,md,guard
I,junior,72.0,md,forward
I,graduate student,71.0,md,guard
I,sophomore,71.0,fl,forward
I,junior,73.0,md,forward
I,sophomore,72.0,ny,forward
I,sophomore,67.0,ga,guard
I,senior,76.0,oh,center
I,graduate student,76.0,ny,forward
I,freshman,66.0,il,guard
I,senior,65.0,ny,guard
I,sophomore,68.0,tx,guard
I,junior,68.0,ny,guard
I,sophomore,72.0,international,guard
I,junior,68.0,ga,guard
I,freshman,67.0,az,guard
I,junior,69.0,mi,guard
I,graduate student,74.0,in,forward
I,sophomore,72.0,ny,forward
I,sophomore,75.0,ny,forward
I,graduate student,73.0,ne,forward
I,senior,68.0,fl,guard
I,junior,74.0,mn,forward
I,freshman,71.0,tn,guard
I,freshman,67.0,international,guard
I,senior,78.0,international,forward
I,junior,71.0,ks,guard
I,sophomore,63.0,ia,guard
I,senior,70.0,ia,guard
I,sophomore,76.0,international,forward
I,junior,72.0,wi,guard
I,senior,73.0,ia,guard
